timestamp,company_name,name,brand_name,category,product_number,price,score,image_url,reviews
1604570928,pccomponentes,Tempest Shadow USB 3.0 con Ventana RGB Negro,Tempest,Torres,TP-ATX-CS-SHAD,39.98,7.49,https://thumb.pccomponentes.com/w-530-530/articles/19/190324/photo-1.jpg,130
1604570930,pccomponentes,Tempest Ghost Cristal Templado USB 3.0 RGB Negro,Tempest,Torres,TP-ATX-CS-GHOS,59.98,8.53,https://thumb.pccomponentes.com/w-530-530/articles/19/190372/ghost-1.jpg,189
1604570933,pccomponentes,MSI GeForce GTX 1660 Gaming X 6GB GDDR5,MSI,Tarjetas graficas,912-V379-009,244.9,9.68,https://thumb.pccomponentes.com/w-530-530/articles/19/190541/3.jpg,76
1604570934,pccomponentes,MSI GeForce GTX 1660 Armor OC 6GB GDDR5,MSI,Tarjetas graficas,912-V379-010,252.8347107,9.7,https://thumb.pccomponentes.com/w-530-530/articles/19/190544/3.jpg,33
1604570935,pccomponentes,MSI GeForce GTX 1660 Ventus XS OC 6GB GDDR5,MSI,Tarjetas graficas,912-V379-014,230.9,9.53,https://thumb.pccomponentes.com/w-530-530/articles/19/190547/3.jpg,90
1604570940,pccomponentes,Gigabyte GeForce GTX 1660 Gaming OC 6GB GDDR5,Gigabyte,Tarjetas graficas,GV-N1660GAMING OC-6GD,198.3471074,9.58,https://thumb.pccomponentes.com/w-530-530/articles/19/190573/1.jpg,110
1604570942,pccomponentes,Gigabyte GeForce GTX 1660 OC 6GB GDDR5,Gigabyte,Tarjetas graficas,GV-N1660OC-6GD,208.8760331,9.3,https://thumb.pccomponentes.com/w-530-530/articles/19/190585/6.jpg,327
1604570946,pccomponentes,Asus GeForce GTX 1660 Phoenix OC 6GB GDDR5,Asus,Tarjetas graficas,90YV0CU0-M0NA00,194.2066116,10,https://thumb.pccomponentes.com/w-530-530/articles/19/190839/5.jpg,4
1604570948,pccomponentes,Thermaltake Commander C31 TG ARGB Edition Cristal Templado USB 3.0,Thermaltake,Torres,CA-1N2-00M1WN-00,157.0991736,9.2,https://thumb.pccomponentes.com/w-530-530/articles/19/191310/1.jpg,5
1604570949,pccomponentes,Thermaltake Commander C32 TG ARGB Edition Cristal Templado USB 3.0,Thermaltake,Torres,CA-1N3-00M1WN-00,108.6528926,9,https://thumb.pccomponentes.com/w-530-530/articles/19/191319/1.jpg,4
1604570950,pccomponentes,Thermaltake Commander C33 TG ARGB Edition Cristal Templado USB 3.0,Thermaltake,Torres,CA-1N4-00M1WN-00,107.4214876,10,https://thumb.pccomponentes.com/w-530-530/articles/19/191332/1.jpg,1
1604570952,pccomponentes,Thermaltake Commander C34 TG ARGB Edition Cristal Templado USB 3.0,Thermaltake,Torres,CA-1N5-00M1WN-00,99.98,9.33,https://thumb.pccomponentes.com/w-530-530/articles/19/191335/1.jpg,6
1604570953,pccomponentes,Thermaltake Commander C35 TG ARGB Edition Cristal Templado USB 3.0,Thermaltake,Torres,CA-1N6-00M1WN-00,157.0991736,10,https://thumb.pccomponentes.com/w-530-530/articles/19/191341/s.jpg,3
1604570954,pccomponentes,Thermaltake Commander C36 TG ARGB Edition Cristal Templado USB 3.0,Thermaltake,Torres,CA-1N7-00M1WN-00,99.16528926,9.33,https://thumb.pccomponentes.com/w-530-530/articles/19/191358/1.jpg,9
1604570956,pccomponentes,Thermaltake Toughpower iRGB Plus 850W 80 Plus Platinum Full Modular,Thermaltake,Fuentes Alimentacion,PS-TPI-0850F2FDPE-1,219.99,9.38,https://thumb.pccomponentes.com/w-530-530/articles/19/191361/4.jpg,13
1604570957,pccomponentes,Nfortec Caronte Cristal Templado USB 3.0 RGB Negro,Nfortec,Torres,NF-CS-CARONTE,49.99,8.78,https://thumb.pccomponentes.com/w-530-530/articles/19/192004/nfortec-caronte-rgb-tempered-glass-gaming-case.jpg,36
1604570959,pccomponentes,Nfortec Caronte Pro Cristal Templado USB 3.0 RGB Negro,Nfortec,Torres,NF-CS-CARONTE-PRO,79.98,8.6,https://thumb.pccomponentes.com/w-530-530/articles/19/192012/nfortec-caronte-pro-rgb-tempered-glass-gaming-case.jpg,43
1604570962,pccomponentes,Tacens Anima AC4500 USB 3.0 + Fuente de Alimentación 500W,Tacens,Torres,AC4500,25.17355372,8.28,https://thumb.pccomponentes.com/w-530-530/articles/19/192057/ac4500-iso1-2000x2000.jpg,129
1604570963,pccomponentes,Tacens Anima AC4 USB 3.0 Negro,Tacens,Torres,AC4,18.3553719,8.1,https://thumb.pccomponentes.com/w-530-530/articles/19/192065/1-ac4-iso1-2000x2000.jpg,173
1604570964,pccomponentes,Tacens Anima APSI500 ATX 500W,Tacens,Fuentes Alimentacion,APSI500,9.99,8.43,https://thumb.pccomponentes.com/w-530-530/articles/19/192116/1-apsi500-iso2-2000x2000.jpg,197
1604570965,pccomponentes,Tacens ALU II USB 3.0 Negro,Tacens,Torres,2ALUII,22.34710744,7.63,https://thumb.pccomponentes.com/w-530-530/articles/19/192119/1-iso-1-2000x2000.jpg,16
1604570967,pccomponentes,MSI GeForce RTX 2060 Gaming 6GB GDDR6,MSI,Tarjetas graficas,912-V375-060,399.91,9.83,https://thumb.pccomponentes.com/w-530-530/articles/19/192187/1.jpg,36
1604570968,pccomponentes,WD Green 480GB SATA3 SLC,Western Digital,Discos Duros,WDS480G2G0A,49.58677686,0,https://thumb.pccomponentes.com/w-530-530/articles/19/192485/1456740.jpg,0
1604570970,pccomponentes,Zotac Gaming GeForce GTX 1660 AMP 6GB GDDR5,Zotac,Tarjetas graficas,ZT-T16600D-10M,225.89,9.14,https://thumb.pccomponentes.com/w-530-530/articles/19/192716/1.jpg,14
1604570971,pccomponentes,Gigabyte B450 Aorus Elite,Gigabyte,Placas Base,B450 AORUS ELITE,92.99,9.26,https://thumb.pccomponentes.com/w-530-530/articles/19/192817/1.jpg,298
1604570972,pccomponentes,Gigabyte B450 I Aorus Pro WIFI,Gigabyte,Placas Base,B450I AORUS PRO WIFI,119.9,9.38,https://thumb.pccomponentes.com/w-530-530/articles/19/192833/1.jpg,32
1604570973,pccomponentes,Gigabyte B450M S2H,Gigabyte,Placas Base,B450M S2H,59.99,9.05,https://thumb.pccomponentes.com/w-530-530/articles/19/192836/1.jpg,285
1604570975,pccomponentes,Asus Prime J4005I-C,Asus,Placas Base,90MB0W90-M0EAY1,84.02479339,0,https://thumb.pccomponentes.com/w-530-530/articles/19/192870/1.jpg,0
1604570977,pccomponentes,HP S700 250GB SSD SATA 3,HP,Discos Duros,2DP98AA#ABB,43.79338843,9.37,https://thumb.pccomponentes.com/w-530-530/articles/19/192876/1.jpg,19
1604570979,pccomponentes,HP S700 500GB SSD SATA 3,HP,Discos Duros,2DP99AA#ABB,67.76859504,9.41,https://thumb.pccomponentes.com/w-530-530/articles/19/192881/1.jpg,74
1604570981,pccomponentes,HP S700 250 GB M.2 SATA 3,HP,Discos Duros,2LU79AA#ABB,45.44628099,9.67,https://thumb.pccomponentes.com/w-530-530/articles/19/192893/1.jpg,6
1604570982,pccomponentes,HP S700 Pro 256 GB SSD SATA 3,HP,Discos Duros,2AP98AA#ABB,63.49586777,10,https://thumb.pccomponentes.com/w-530-530/articles/19/192905/1.jpg,1
1604570983,pccomponentes,HP S700 Pro 512 GB SSD SATA 3,HP,Discos Duros,2AP99AA#ABB,81.65289256,8.57,https://thumb.pccomponentes.com/w-530-530/articles/19/192908/1.jpg,7
1604570985,pccomponentes,HP EX900 250GB NVMe 2280 M.2,HP,Discos Duros,2YY43AA#ABB,48.75206612,9.75,https://thumb.pccomponentes.com/w-530-530/articles/19/192940/1.jpg,8
1604570987,pccomponentes,HP EX900 500GB NVMe 2280 M.2,HP,Discos Duros,2YY44AA#ABB,73.73553719,8.29,https://thumb.pccomponentes.com/w-530-530/articles/19/192943/1.jpg,7
1604570989,pccomponentes,HP EX920 1TB SSD NVMe M.2,HP,Discos Duros,2YY47AA#ABB,141.9,9,https://thumb.pccomponentes.com/w-530-530/articles/19/192955/1.jpg,2
1604570990,pccomponentes,Corsair SF750 750W SFX 80 Plus Platinum Full Modular,Corsair,Fuentes Alimentacion,CP-9020186-EU,163,9.67,https://thumb.pccomponentes.com/w-530-530/articles/19/193145/1.jpg,12
1604570999,pccomponentes,Aerocool Bolt RGB USB 3.0 con Ventana,Aerocool,Torres,BOLT,33.44628099,8.96,https://thumb.pccomponentes.com/w-530-530/articles/19/193280/3.jpg,121
1604571001,pccomponentes,Aerocool Klaw RGB Cristal Templado USB 3.0 Negra,Aerocool,Torres,KLAW,65.00826446,8.89,https://thumb.pccomponentes.com/w-530-530/articles/19/193776/1.jpg,18
1604571002,pccomponentes,Aerocool Tor RGB Cristal Templado USB 3.0 Negra,Aerocool,Torres,TOR,73.07438017,10,https://thumb.pccomponentes.com/w-530-530/articles/19/193784/1.jpg,2
1604571003,pccomponentes,Aerocool Shard RGB USB 3.0 con Ventana,Aerocool,Torres,SHARD,35.0661157,8.82,https://thumb.pccomponentes.com/w-530-530/articles/19/193814/1.jpg,44
1604571005,pccomponentes,Aerocool Playa RGB Cristal Templado USB 3.0,Aerocool,Torres,PLAYAXL,48.0661157,10,https://thumb.pccomponentes.com/w-530-530/articles/19/193837/1.jpg,2
1604571006,pccomponentes,Corsair Dominator Platinum RGB DDR4 3200MHz PC4-25600 32GB 4x8GB CL16,Corsair,Memoria RAM,CMT32GX4M4C3200C16,279.99,8.5,https://thumb.pccomponentes.com/w-530-530/articles/19/194137/1.jpg,4
1604571008,pccomponentes,HyperX Predator RGB DDR4 4000MHz 16GB 2x8GB CL19,Kingston,Memoria RAM,HX440C19PB3AK2/16,150.5619835,9.89,https://thumb.pccomponentes.com/w-530-530/articles/19/194237/4.jpg,18
1604571014,pccomponentes,Enermax StarryFort SF30 Cristal Templado USB 3.0,Enermax,Torres,ECA-SF30-M1BB-ARGB,71.6446281,8.8,https://thumb.pccomponentes.com/w-530-530/articles/19/194525/1.jpg,5
1604571016,pccomponentes,Enermax Revolution D.F. 650W 80 Plus Gold Full Modular,Enermax,Fuentes Alimentacion,ERF650AWT,84.82644628,0,https://thumb.pccomponentes.com/w-530-530/articles/19/194533/1.jpg,0
1604571017,pccomponentes,Enermax Revolution D.F. 750W 80 Plus Gold Full Modular,Enermax,Fuentes Alimentacion,ERF750EWT,96.74380165,0,https://thumb.pccomponentes.com/w-530-530/articles/19/194536/1.jpg,0
1604571019,pccomponentes,Enermax Revolution D.F. 850W 80 Plus Gold Full Modular,Enermax,Fuentes Alimentacion,ERF850EWT,118.7355372,10,https://thumb.pccomponentes.com/w-530-530/articles/19/194540/1.jpg,1
1604571022,pccomponentes,Corsair Vengeance RGB Pro DDR4 3200 PC4-25600 32GB 2x16GB CL16 Negra,Corsair,Memoria RAM,CMW32GX4M2C3200C16,149,9.47,https://thumb.pccomponentes.com/w-530-530/articles/19/196672/1.jpg,303
1604571027,pccomponentes,Talius Xentinel USB 3.0 Blanca con Ventana,Talius,Torres,TAL-XENTINEL-WHT,34.38842975,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197342/t27.jpg,0
1604571028,pccomponentes,Talius Valkyria Cristal Templado USB 3.0 RGB Negro,Talius,Torres,TAL-VALKYRIA,84.01652893,8,https://thumb.pccomponentes.com/w-530-530/articles/19/197376/t30.jpg,1
1604571029,pccomponentes,Talius Fuente de Alimentación 500W 80 Plus Bronze,Talius,Fuentes Alimentacion,TAL-PSU500W80,62.5,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197378/00.jpg,0
1604571031,pccomponentes,Talius Drakko USB 3.0 Blanca con Ventana,Talius,Torres,TAL-DRAKKO-WHI,40.0661157,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197384/t35.jpg,0
1604571032,pccomponentes,Talius Vorttex USB 3.0 Negra con Ventana,Talius,Torres,TAL-VORTTEX,54.5,8,https://thumb.pccomponentes.com/w-530-530/articles/19/197393/t31.jpg,1
1604571034,pccomponentes,Talius Fuente de Alimentación 600W 80 Plus Bronze,Talius,Fuentes Alimentacion,TAL-PSU600W80,72.49,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197435/00.jpg,0
1604571036,pccomponentes,Talius Gárgola Cristal Templado USB 3.0 RGB Negra,Talius,Torres,TAL-GARGOLA,58.02479339,6,https://thumb.pccomponentes.com/w-530-530/articles/19/197462/t38.jpg,1
1604571038,pccomponentes,Talius Fuente de Alimentación 800W 80 Plus Bronze,Talius,Fuentes Alimentacion,TAL-PSU800W80,97.95,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197470/00.jpg,0
1604571039,pccomponentes,Talius Plus Fuente de Alimentación 500W,Talius,Fuentes Alimentacion,TAL-PSU500WPLU,16.48760331,8,https://thumb.pccomponentes.com/w-530-530/articles/19/197482/00.jpg,1
1604571041,pccomponentes,Talius Basic Fuente de Alimentación 500W Negra,Talius,Fuentes Alimentacion,TAL-PSU500W-BLK,14.55371901,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197485/00.jpg,0
1604571042,pccomponentes,Talius Indiana USB 3.0 + Fuente de Alimentación 500W Negra,Talius,Torres,TAL-INDIANA,31.18181818,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197548/t2.jpg,0
1604571044,pccomponentes,Talius Cronos Cristal Templado USB 3.0 RGB,Talius,Torres,TAL-CRONOS,132.1487603,10,https://thumb.pccomponentes.com/w-530-530/articles/19/197549/t3.jpg,4
1604571045,pccomponentes,Talius Fuente de Alimentacion 700W Modular,Talius,Fuentes Alimentacion,TAL-PSU700WMOD,46.95,10,https://thumb.pccomponentes.com/w-530-530/articles/19/197552/00.jpg,1
1604571046,pccomponentes,Talius Minni Slim USB 3.0 + Fuente de Alimentación 500W,Talius,Torres,TAL-MINNI-261A,45.5,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197554/t5.jpg,0
1604571048,pccomponentes,Talius Hydra USB 3.0 Gris con Ventana,Talius,Torres,TAL-HYDRA-GRY,48.69421488,8,https://thumb.pccomponentes.com/w-530-530/articles/19/197556/t6.jpg,2
1604571050,pccomponentes,Talius Fuente de Alimentacion 600W,Talius,Fuentes Alimentacion,TAL-PSU600W,25.9338843,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197560/00.jpg,0
1604571051,pccomponentes,PNY GeForce GTX 1660 Ti XLR8 Gaming OC Dual Fan 6GB GDDR6,PNY,Tarjetas graficas,VCG1660T6DFPPB-O,289.9,9.17,https://thumb.pccomponentes.com/w-530-530/articles/19/197747/5.jpg,29
1604571053,pccomponentes,Talius Kraken Tornado Cristal Templado USB 3.0 Negra,Talius,Torres,TAL-KRAKEN-TORNADO,73.20661157,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197778/t10.jpg,0
1604571055,pccomponentes,Talius Kraken Spectrum Cristal Templado USB 3.0 RGB Negra,Talius,Torres,TAL-KRAKEN-SPECTRUM,78.00826446,0,https://thumb.pccomponentes.com/w-530-530/articles/19/197791/t11.jpg,0
1604571058,pccomponentes,WD Blue SN500 SSD 250GB NVMe M.2 PCI-e 3.0,Western Digital,Discos Duros,WDS250G1B0C,65.99,9.08,https://thumb.pccomponentes.com/w-530-530/articles/19/198946/71693pnrkil-sl1500.jpg,13
1604571060,pccomponentes,WD Blue SN500 SSD 500GB NVMe M.2 PCI-e 3.0,Western Digital,Discos Duros,WDS500G1B0C,91.98,9.4,https://thumb.pccomponentes.com/w-530-530/articles/19/198948/71693pnrkil-sl1500.jpg,70
1604571066,pccomponentes,G-Technology G-Drive Mobile 1TB USB-C 3.0,G-Technology,Discos Duros,0G02875,101.4,0,https://thumb.pccomponentes.com/w-530-530/articles/19/199124/principal.jpg,0
1604571068,pccomponentes,MSI GeForce GTX 1650 Ventus XS 4GB OC GDDR5,MSI,Tarjetas graficas,912-V809-3060,164.446281,9.27,https://thumb.pccomponentes.com/w-530-530/articles/19/199273/msi-geforce-gtx-1650-ventus-xs-4gb-oc-gddr5-comprar.jpg,231
1604571069,pccomponentes,Gigabyte GeForce GTX 1650 MINI ITX OC 4GB GDDR5,Gigabyte,Tarjetas graficas,GV-N1650IXOC-4GD,140.9,6,https://thumb.pccomponentes.com/w-530-530/articles/19/199276/6.jpg,2
1604571071,pccomponentes,Gigabyte GeForce GTX 1650 OC 4GB GDDR5,Gigabyte,Tarjetas graficas,GV-N1650OC-4GD,149.89,9.2,https://thumb.pccomponentes.com/w-530-530/articles/19/199277/7.jpg,344
1604571073,pccomponentes,MSI GeForce GTX 1650 Gaming X 4GB GDDR5,MSI,Tarjetas graficas,912-V380-003,150.4132231,9.13,https://thumb.pccomponentes.com/w-530-530/articles/19/199690/2.jpg,60
1604571076,pccomponentes,MSI GeForce GTX 1650 AERO ITX 4GB OC GDDR5,MSI,Tarjetas graficas,912-V809-3061,137.1983471,9.56,https://thumb.pccomponentes.com/w-530-530/articles/20/200538/3.jpg,9
1604571077,pccomponentes,Asus GeForce GTX 1650 Dual 4GB OC GDDR5,Asus,Tarjetas graficas,90YV0CV2-M0NA00,149.89,9.04,https://thumb.pccomponentes.com/w-530-530/articles/20/200695/3.jpg,127
1604571078,pccomponentes,Asus GeForce GTX 1650 Rog Strix Gaming 4GB OC GDDR5,Asus,Tarjetas graficas,90YV0CX1-M0NA00,209.8347107,5.5,https://thumb.pccomponentes.com/w-530-530/articles/20/200722/4.jpg,4
1604571094,pccomponentes,Adata XPG Spectrix D80 DDR4 3200 PC4-25600 16GB CL16 Rojo,A-Data,Memoria RAM,AX4U3200316G16-SR80,109.8181818,0,https://thumb.pccomponentes.com/w-530-530/articles/20/201613/1.jpg,0
1604571098,pccomponentes,Adata XPG Spectrix D80 DDR4 3200 PC4-25600 8GB 1x8GB CL16 Negro,A-Data,Memoria RAM,AX4U320038G16-SB80,64.44,0,https://thumb.pccomponentes.com/w-530-530/articles/20/201654/ax4u320038g16-sb80-1.jpg,0
1604571099,pccomponentes,Adata XPG Spectrix D80 DDR4 3000 PC4-24000 32GB 2x16GB CL16 Negro,A-Data,Memoria RAM,AX4U3000316G16-DB80,182.99,0,https://thumb.pccomponentes.com/w-530-530/articles/20/201662/11.jpg,0
1604571105,pccomponentes,Adata XPG Spectrix D80 DDR4 3200 PC4-25600 16GB 2x8GB CL16 Negro,A-Data,Memoria RAM,AX4U320038G16-DB80,121,9.42,https://thumb.pccomponentes.com/w-530-530/articles/20/201675/ax4u320038g16-db80-1.jpg,24
